arr,block,time
1000,128,0.019040
1000,256,0.023104
1000,512,0.020480
1000,1024,0.020672
10000,128,0.028480
10000,256,0.022400
10000,512,0.021792
10000,1024,0.016416
100000,128,0.032032
100000,256,0.023392
100000,512,0.030944
100000,1024,0.020608
1000000,128,0.043104
1000000,256,0.055232
1000000,512,0.042816
1000000,1024,0.042496
33554432,128,0.742432
33554432,256,0.739840
33554432,512,0.740352
33554432,1024,0.743296
67108864,128,1.461856
67108864,256,1.459360
67108864,512,1.459136
67108864,1024,1.476736
134217728,128,2.903840
134217728,256,2.905856
134217728,512,2.910048
134217728,1024,2.907136
268435450,128,5.793536
268435450,256,5.809536
268435450,512,5.803456
268435450,1024,5.799488
