mode,arr,block,time
r,1000,128,0.029152
s,1000,128,0.015168
r,1000,256,0.032928
s,1000,256,0.016832
r,1000,512,0.031008
s,1000,512,0.011680
r,1000,1024,0.030144
s,1000,1024,0.012384
r,10000,128,0.023392
s,10000,128,0.020768
r,10000,256,0.037888
s,10000,256,0.016384
r,10000,512,0.030720
s,10000,512,0.016288
r,10000,1024,0.037920
s,10000,1024,0.016032
r,100000,128,0.034880
s,100000,128,0.091168
r,100000,256,0.032960
s,100000,256,0.052736
r,100000,512,0.033120
s,100000,512,0.033952
r,100000,1024,0.034816
s,100000,1024,0.025728
r,1000000,128,0.065792
s,1000000,128,1.093984
r,1000000,256,0.063936
s,1000000,256,0.579392
r,1000000,512,0.059904
s,1000000,512,0.323936
r,1000000,1024,0.079072
s,1000000,1024,0.192256
r,33554432,128,1.168672
s,33554432,128,44.510239
r,33554432,256,1.216128
s,33554432,256,22.998625
r,33554432,512,1.290752
s,33554432,512,12.228064
r,33554432,1024,1.477344
s,33554432,1024,6.649024
r,67108864,128,2.285376
s,67108864,128,89.334335
r,67108864,256,2.155616
s,67108864,256,37.254433
r,67108864,512,2.564864
s,67108864,512,23.992289
r,67108864,1024,2.915680
s,67108864,1024,13.456576
r,134217728,128,4.520352
s,134217728,128,161.877701
r,134217728,256,4.285312
s,134217728,256,74.829567
r,134217728,512,4.510144
s,134217728,512,39.807617
r,134217728,1024,5.782592
s,134217728,1024,26.760927
