mode,arr,block,time
r,1000,128,0.052576
s,1000,128,0.034112
r,1000,256,0.061472
s,1000,256,0.035424
r,1000,512,0.086400
s,1000,512,0.033984
r,1000,1024,0.054656
s,1000,1024,0.032224
r,10000,128,0.061632
s,10000,128,0.059808
r,10000,256,0.062080
s,10000,256,0.046432
r,10000,512,0.057888
s,10000,512,0.044288
r,10000,1024,0.069440
s,10000,1024,0.040192
r,100000,128,0.074592
s,100000,128,0.264032
r,100000,256,0.057952
s,100000,256,0.151840
r,100000,512,0.084896
s,100000,512,0.107648
r,100000,1024,0.069056
s,100000,1024,0.070368
r,1000000,128,0.144288
s,1000000,128,3.085536
r,1000000,256,0.151968
s,1000000,256,1.616736
r,1000000,512,0.158080
s,1000000,512,0.886752
r,1000000,1024,0.183104
s,1000000,1024,0.511072
r,33554432,128,3.066880
s,33554432,128,130.916534
r,33554432,256,2.908352
s,33554432,256,56.124161
r,33554432,512,3.077120
s,33554432,512,29.491394
r,33554432,1024,4.045696
s,33554432,1024,19.929407
r,67108864,128,6.082592
s,67108864,128,231.635986
r,67108864,256,5.816160
s,67108864,256,111.131264
r,67108864,512,6.153504
s,67108864,512,58.192833
r,67108864,1024,6.963360
s,67108864,1024,32.599327
r,134217728,128,11.140576
s,134217728,128,438.293854
r,134217728,256,12.695712
s,134217728,256,259.122345
r,134217728,512,12.233601
s,134217728,512,118.509445
r,134217728,1024,13.843967
s,134217728,1024,66.185501
