arr,block,time
128,4,0.043424
128,8,0.037312
128,16,0.039424
128,32,0.134848
256,4,0.178688
256,8,0.086048
256,16,0.150240
256,32,0.445056
512,4,1.268640
512,8,0.617024
512,16,0.695840
512,32,2.401152
1024,4,7.576160
1024,8,2.987680
1024,16,5.284704
1024,32,27.375969
2048,4,60.965534
2048,8,20.610720
2048,16,41.690239
2048,32,180.996414
4096,4,488.386688
4096,8,201.573471
4096,16,385.118317
4096,32,1309.896118
8192,4,5342.985352
8192,8,1808.783203
8192,16,2717.459961
8192,32,9204.079102
16384,4,39768.781250
16384,8,11789.964844
16384,16,21783.876953
16384,32,75006.585938
